Unnamed: 0,ID1,ID2
1,66,31
2,63,102
3,73,108
4,114,35
5,4,16
6,65,54
7,126,49
8,109,16
9,78,31
10,5,7
11,56,102
12,121,69
13,96,102
14,30,89
15,122,11
16,107,50
17,46,62
18,51,50
19,6,64
20,76,48
21,86,54
22,110,27
23,68,49
24,104,84
25,33,124
26,45,35
27,3,102
28,77,38
29,53,40
30,80,58
31,37,116
32,129,20
33,36,69
34,101,93
35,72,31
36,39,103
37,22,89
38,95,24
39,92,48
40,94,54
41,28,54
42,130,20
43,26,43
44,23,24
45,118,49
46,71,20
47,106,102
48,-1,97
49,70,102
50,119,11
51,14,108
52,21,44
53,100,48
54,113,20
55,10,69
56,79,60
57,52,48
58,123,74
59,55,97
60,25,74
61,81,74
62,32,13
63,59,69
64,105,2
65,18,40
