Unnamed: 0,ID1,ID2
1,66,102
2,63,80
3,31,57
4,4,54
5,126,19
6,56,35
7,96,74
8,88,24
9,122,51
10,49,36
11,107,74
12,46,18
13,2,68
14,6,130
15,61,78
16,9,24
17,76,65
18,50,79
19,110,121
20,89,5
21,27,98
22,7,25
23,104,74
24,103,34
25,11,130
26,67,130
27,33,79
28,111,83
29,43,83
30,45,8
31,87,112
32,53,25
33,16,109
34,127,78
35,42,68
36,37,116
37,129,83
38,84,57
39,101,3
40,72,80
41,12,130
42,64,70
43,108,15
44,22,79
45,38,100
46,124,19
47,28,130
48,62,83
49,60,95
50,125,29
51,106,93
52,17,73
53,-1,78
54,120,57
55,13,25
56,113,54
57,82,68
58,10,73
59,55,58
60,44,80
61,20,130
62,81,97
63,131,102
64,32,48
65,105,21
