Unnamed: 0,ID1,ID2
1,63,18
2,73,78
3,114,35
4,4,16
5,85,78
6,109,130
7,56,35
8,47,130
9,88,96
10,30,96
11,107,104
12,46,18
13,2,45
14,6,108
15,40,97
16,61,31
17,76,65
18,50,51
19,86,11
20,110,83
21,75,49
22,34,1
23,27,66
24,103,1
25,115,28
26,33,31
27,43,83
28,3,102
29,77,102
30,53,36
31,127,78
32,42,24
33,129,69
34,84,57
35,74,81
36,101,96
37,12,105
38,39,83
39,64,79
40,22,68
41,95,18
42,92,48
43,29,83
44,124,105
45,117,121
46,60,79
47,125,98
48,41,45
49,23,24
50,71,36
51,106,102
52,17,96
53,70,7
54,120,126
55,13,45
56,100,18
57,10,96
58,15,48
59,52,91
60,25,18
61,44,21
62,20,130
63,32,48
64,59,62
65,128,83
