Unnamed: 0,ID1,ID2
1,73,81
2,114,56
3,85,106
4,78,31
5,5,38
6,54,43
7,96,66
8,30,106
9,122,28
10,2,51
11,40,76
12,61,31
13,9,21
14,102,38
15,50,45
16,112,32
17,75,124
18,68,129
19,7,32
20,103,34
21,67,43
22,111,6
23,3,106
24,35,56
25,80,43
26,91,15
27,37,116
28,69,33
29,84,83
30,90,33
31,74,81
32,97,49
33,36,49
34,101,106
35,72,31
36,39,83
37,108,120
38,22,129
39,94,65
40,117,83
41,62,11
42,98,89
43,60,11
44,130,109
45,125,29
46,26,65
47,41,46
48,118,70
49,71,57
50,-1,116
51,119,24
52,14,116
53,13,70
54,113,21
55,82,87
56,79,88
57,123,76
58,55,51
59,25,33
60,44,12
61,20,120
62,59,33
63,128,129
64,105,34
65,18,34
