Unnamed: 0,ID1,ID2
1,63,33
2,48,56
3,114,56
4,4,28
5,65,130
6,121,24
7,47,130
8,54,58
9,107,124
10,46,18
11,51,89
12,40,6
13,93,130
14,9,38
15,76,2
16,110,102
17,112,25
18,68,124
19,34,1
20,27,66
21,7,25
22,103,1
23,83,56
24,11,81
25,115,23
26,111,31
27,45,2
28,87,44
29,77,129
30,35,33
31,80,72
32,16,109
33,91,123
34,42,2
35,69,18
36,84,57
37,90,130
38,74,57
39,36,49
40,101,96
41,12,130
42,39,20
43,64,10
44,108,124
45,22,30
46,92,2
47,94,18
48,62,24
49,98,96
50,125,130
51,41,59
52,71,20
53,106,102
54,17,38
55,14,1
56,13,31
57,21,44
58,113,20
59,79,122
60,15,31
61,55,29
62,131,25
63,32,10
64,105,3
65,99,61
