Unnamed: 0,ID1,ID2
1,31,96
2,73,108
3,48,18
4,85,61
5,78,61
6,5,38
7,56,35
8,121,110
9,47,65
10,54,65
11,88,79
12,30,68
13,122,79
14,49,36
15,46,110
16,6,83
17,9,38
18,112,24
19,89,28
20,34,97
21,7,83
22,104,84
23,103,18
24,67,43
25,45,2
26,87,44
27,77,69
28,53,33
29,80,72
30,91,15
31,42,97
32,37,116
33,129,36
34,90,18
35,74,107
36,39,83
37,19,20
38,95,33
39,92,2
40,124,63
41,117,83
42,62,102
43,60,79
44,130,109
45,57,24
46,41,108
47,23,24
48,118,33
49,106,24
50,17,11
51,-1,97
52,70,33
53,119,11
54,14,97
55,21,44
56,82,36
57,10,116
58,52,76
59,25,18
60,81,61
61,131,93
62,32,13
63,59,76
64,105,96
65,99,55
